"output_name","study","core_structure","align_samples","source_artifact"
"Tunsakul2024","2024_tunsakul_peerj_aerobicvsanaerobicinhealthyvsobesity","LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(40 x 184), rdp16 = DATAFRAME(40 x 137)}} || LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(40 x 184), rdp16 = DATAFRAME(40 x 137)}} || LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(1489 x 7), rdp16 = DATAFRAME(1489 x 7)}} || DATAFRAME(40 x 4) || DATAFRAME(139 x 37)",TRUE,"datasetsfromrepo_validation.RData"
"Alessandri2024","2024_alessandri_microbbiotechnology_pcosvaginalmicrobiota","LIST={original = DATAFRAME(59 x 58), reprocessed = LIST={mOTU3 = NULL, MetaPhlAn4 = DATAFRAME(60 x 57)}} || LIST={original = DATAFRAME(59 x 58), reprocessed = LIST={mOTU3 = NULL, MetaPhlAn4 = DATAFRAME(60 x 57)}} || LIST={original = DATAFRAME(58 x 1), reprocessed = LIST={mOTU3 = NULL, MetaPhlAn4 = DATAFRAME(187 x 9)}} || DATAFRAME(60 x 3) || DATAFRAME(60 x 37)",TRUE,"datasetsfromrepo_validation.RData"
"Maghini2023","2023_maghini_naturebiotechnology_samplemesurement","LIST={original = DATAFRAME(204 x 835), reprocessed = LIST={mOTU3 = NULL, MetaPhlAn4 = DATAFRAME(205 x 842)}} || LIST={original = DATAFRAME(204 x 835), reprocessed = LIST={mOTU3 = NULL, MetaPhlAn4 = DATAFRAME(205 x 842)}} || LIST={original = DATAFRAME(835 x 1), reprocessed = LIST={mOTU3 = NULL, MetaPhlAn4 = DATAFRAME(2749 x 9)}} || DATAFRAME(225 x 8) || DATAFRAME(411 x 39)",TRUE,"datasetsfromrepo_validation.RData"
"Garcia_Martinez2024","2024_garciamartinez_bmcmicrobiology_ckdanddysbiosiswithserum","LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(108 x 410), rdp16 = DATAFRAME(108 x 273)}} || LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(108 x 410), rdp16 = DATAFRAME(108 x 273)}} || LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(13943 x 7), rdp16 = DATAFRAME(13943 x 7)}} || DATAFRAME(114 x 4) || DATAFRAME(114 x 42)",TRUE,"datasetsfromrepo_validation.RData"
"Sternes2024","2024_sternes_frontmicrobiol_IBDppiqPCR","LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(673 x 1226), rdp16 = DATAFRAME(673 x 943)}} || LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(673 x 1226), rdp16 = DATAFRAME(673 x 943)}} || LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(37714 x 7), rdp16 = DATAFRAME(37714 x 7)}} || DATAFRAME(675 x 11) || DATAFRAME(870 x 47)",TRUE,"datasetsfromrepo_validation.RData"
"Rao2021","2021_rao_nature_mkspikeseqmetagenomicmultiplescalequantification","LIST={original = LIST={combinedphases = LIST={bacteria = DATAFRAME(701 x 174), archaea = NULL, fungi = DATAFRAME(555 x 284)}, phase1 = LIST={bacteria = DATAFRAME(637 x 168), archaea = DATAFRAME(584 x 6), fungi = DATAFRAME(488 x 216)}, phase2 = LIST={bacteria = DATAFRAME(52 x 91), archaea = NULL, fungi = DATAFRAME(48 x 181)}, mock = LIST={bacteria = DATAFRAME(24 x 10), archaea = NULL, fungi = DATAFRAME(22 x 10), fecal = DATAFRAME(32 x 7)}}, reprocessed = LIST={rdp19 = DATAFRAME(2180 x 593), rdp16 = DATAFRAME(2180 x 467)}} || LIST={original = LIST={combinedphases = LIST={bacteria = DATAFRAME(701 x 174), archaea = NULL, fungi = DATAFRAME(555 x 284)}, phase1 = LIST={bacteria = DATAFRAME(637 x 168), archaea = DATAFRAME(584 x 6), fungi = DATAFRAME(488 x 216)}, phase2 = LIST={bacteria = DATAFRAME(52 x 91), archaea = NULL, fungi = DATAFRAME(48 x 181)}, mock = LIST={bacteria = NULL, archaea = NULL, fungi = NULL, fecal = NULL}}, reprocessed = LIST={rdp19 = DATAFRAME(2180 x 593), rdp16 = DATAFRAME(2180 x 467)}} || LIST={original = LIST={combinedphases = LIST={bacteria = DATAFRAME(810 x 9), archaea = NULL, fungi = DATAFRAME(881 x 9)}, phase1 = LIST={bacteria = NULL, archaea = NULL, fungi = NULL}, phase2 = LIST={bacteria = NULL, archaea = NULL, fungi = NULL}, mock = LIST={bacteria = DATAFRAME(10 x 3), archaea = NULL, fungi = DATAFRAME(10 x 3), fecal = DATAFRAME(106 x 8)}}, reprocessed = LIST={rdp19 = DATAFRAME(24678 x 7), rdp16 = DATAFRAME(24678 x 8)}} || LIST={combinedphases = DATAFRAME(2180 x 43), mockfecal = NULL, mockfungi = DATAFRAME(22 x 7), mockbacteria = DATAFRAME(24 x 7)} || DATAFRAME(3085 x 42)",TRUE,"datasetsfromrepo_validation.RData"
"Tettamanti_Boshier2020","2020_tettamantiboshier_msystems_vaginaltimeseries","LIST={original = DATAFRAME(667 x 365), reprocessed = LIST={rdp19 = DATAFRAME(1320 x 241), rdp16 = DATAFRAME(1320 x 194)}} || LIST={original = DATAFRAME(667 x 365), reprocessed = LIST={rdp19 = DATAFRAME(1320 x 241), rdp16 = DATAFRAME(1320 x 194)}} || LIST={original = DATAFRAME(365 x 1), reprocessed = LIST={rdp19 = DATAFRAME(5567 x 7), rdp16 = DATAFRAME(5567 x 8)}} || DATAFRAME(1320 x 6) || DATAFRAME(1320 x 48)",TRUE,"datasetsfromrepo_validation.RData"
"Kruger2024","2024_kruger_scientificreports_ddpcrhealthysubjects","LIST={original = LIST={metabolomics = DATAFRAME(30 x 11), amplicon = DATAFRAME(30 x 126)}, reprocessed = LIST={metabolomics = NULL, amplicon = LIST={rdp19 = DATAFRAME(30 x 239), rdp16 = DATAFRAME(30 x 155)}}} || LIST={original = LIST={metabolomics = DATAFRAME(30 x 11), amplicon = DATAFRAME(30 x 126)}, reprocessed = LIST={metabolomics = NULL, amplicon = LIST={rdp19 = DATAFRAME(30 x 239), rdp16 = DATAFRAME(30 x 155)}}} || LIST={original = LIST={metabolomics = DATAFRAME(9 x 1), amplicon = DATAFRAME(140 x 1)}, reprocessed = LIST={metabolomics = NULL, amplicon = LIST={rdp19 = DATAFRAME(2317 x 7), rdp16 = DATAFRAME(2317 x 7)}}} || DATAFRAME(30 x 13) || LIST={replicates = DATAFRAME(10 x 2680), metadata = DATAFRAME(52 x 61)}",TRUE,"datasetsfromrepo_validation.RData"
"Liu2017","2017_liu_mbio_penilehivqPCR","LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(182 x 378), rdp16 = DATAFRAME(182 x 314)}} || LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(182 x 378), rdp16 = DATAFRAME(182 x 314)}} || LIST={original = NULL, reprocessed = LIST={rdp19 = DATAFRAME(6929 x 7), rdp16 = DATAFRAME(6929 x 7)}} || DATAFRAME(182 x 4) || DATAFRAME(182 x 52)",TRUE,"datasetsfromrepo_validation.RData"
"Jin2022","2022_jin_natureComm_technicalReplicates","LIST={original = DATAFRAME(54 x 107), reprocessed = LIST={rdp19 = DATAFRAME(54 x 548), rdp16 = DATAFRAME(54 x 457)}} || LIST={original = DATAFRAME(54 x 107), reprocessed = LIST={rdp19 = DATAFRAME(54 x 548), rdp16 = DATAFRAME(54 x 457)}} || LIST={original = DATAFRAME(860 x 7), reprocessed = LIST={rdp19 = DATAFRAME(26864 x 9), rdp16 = DATAFRAME(26864 x 9)}} || DATAFRAME(64 x 8) || DATAFRAME(120 x 54)",TRUE,"datasetsfromrepo_validation.RData"
